StartDate,EndDate,Status,Progress,Duration ,Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q_RecaptchaScore,Q1,Q48,Q17,Q18,Q19,Q20,Q22,Q23,Q24,Q25,Q26,Q27,Q28,Q29,Q30,Q31,Q32,Q33,Q34,Q35,Q36,Q45,Q46,Q47,Q48,Q49,Q50,Q51,Q52,Q86,Q87,Q88,Q89,Q90,Q91,Q92,Q93,Q94,Q95,Q96,Q97,Q98,Q99,Q100,Q101,Q102,Q103,Q104,Q105,Q106,Q107,Q108,Q109,Q110,Q111,Q112,Q83,Q85,Q86,Q87,Q88,Q88_2_TEXT,Q88_3_TEXT,Q88_4_TEXT,Q4,Q6,Q5,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,SC0
2022/10/26 13:38,2022/10/26 13:46,IP Address,100,484,TRUE,2022/10/26 13:46,R_128Vtg5zwu6d9Sq,anonymous,EN,0.899999976,"I consent, begin the study",2- Sometimes,3- Often,4- Usually,2- Sometimes,2- Sometimes,1- Almost never,2- Sometimes,2- Sometimes,3- Often,2- Sometimes,4- Usually,4- Usually,3- Often,2- Sometimes,3- Often,4- Usually,3- Often,4- Usually,1- Almost never,4- Usually,Mild stress,Mild stress,None,Mild stress,Severe stress,Mild stress,None,D,D,A- does not describe me well,B,D,A- does not describe me well,C,E- describes me very well,D,D,D,A- does not describe me well,D,C,D,B,D,B,E- describes me very well,D,D,A- does not describe me well,B,A- does not describe me well,D,D,A- does not describe me well,E- describes me very well,"Yes, 3x per month or less","Yes, 1+ times per week","Yes, 1-2 times per week",No,"Yes, 3x per month or less",Reading,,,Current first year,20-24,"NSGC region 5: AZ, CO, MT, NM, TX, UT, WY, Alberta, Manitoba, Sask",White,No,Female,Bisexual,Single (never married),No,Yes,Yes,No,122
2022/10/26 13:36,2022/10/26 13:48,IP Address,100,701,TRUE,2022/10/26 13:48,R_tJL4evmUCRIBkQx,anonymous,EN,1,"I consent, begin the study",1- Almost never,3- Often,4- Usually,2- Sometimes,3- Often,1- Almost never,3- Often,2- Sometimes,3- Often,4- Usually,3- Often,3- Often,4- Usually,3- Often,3- Often,3- Often,4- Usually,3- Often,2- Sometimes,4- Usually,Moderate stress,Severe stress,None,Mild stress,Moderate stress,None,None,D,D,B,B,D,D,C,C,E- describes me very well,D,E- describes me very well,B,D,C,B,D,D,B,D,D,D,D,D,B,D,D,B,D,"Yes, 3x per month or less",No,"Yes, 1-2 times per week",No,"Yes, 1-2 times per week",,Crocheting,,Current first year,20-24,"NSGC region 2: DC, DE, MD, NJ, NY, PA, VA, WV, PR, VI, Quebec",White,No,Female,Asexual,Single (never married),No,No,No,No,139
2022/10/26 13:38,2022/10/26 13:50,IP Address,100,697,TRUE,2022/10/26 13:50,R_3EcF5FVMqB0xUpr,anonymous,EN,1,"I consent, begin the study",2- Sometimes,4- Usually,4- Usually,2- Sometimes,3- Often,2- Sometimes,3- Often,2- Sometimes,4- Usually,3- Often,4- Usually,2- Sometimes,4- Usually,2- Sometimes,2- Sometimes,2- Sometimes,4- Usually,3- Often,2- Sometimes,4- Usually,Mild stress,Mild stress,Severe stress,Mild stress,Moderate stress,Mild stress,Severe stress,C,D,A- does not describe me well,B,D,E- describes me very well,B,E- describes me very well,D,E- describes me very well,E- describes me very well,A- does not describe me well,B,B,B,D,D,B,C,E- describes me very well,E- describes me very well,D,D,C,E- describes me very well,D,B,D,"Yes, 3+ times per week","Yes, 1x per month or less","Yes, 1-2 times per week","Yes, 3x per month or less",No,,,,Current second year,25-29,"NSGC region 4: 4 AR,IA,IL,IN,KS,MI,MN,MO,ND,NE,OH,OK,SD,WI, Ontario",Asian,No,Female,Straight or Heterosexual,In a romantic relationship,No,No,No,No,154
2022/10/26 13:37,2022/10/26 13:52,IP Address,100,879,TRUE,2022/10/26 13:52,R_3Ht3ukccMpecPpP,anonymous,EN,0.899999976,"I consent, begin the study",1- Almost never,3- Often,4- Usually,4- Usually,3- Often,2- Sometimes,2- Sometimes,1- Almost never,4- Usually,3- Often,3- Often,3- Often,4- Usually,2- Sometimes,2- Sometimes,2- Sometimes,4- Usually,4- Usually,1- Almost never,4- Usually,Moderate stress,Severe stress,Mild stress,None,Severe stress,None,None,E- describes me very well,D,A- does not describe me well,B,C,D,E- describes me very well,E- describes me very well,E- describes me very well,C,D,C,D,B,A- does not describe me well,D,E- describes me very well,B,A- does not describe me well,C,C,D,C,D,D,C,C,D,No,No,"Yes, 1-2 times per week",No,No,,,,Current second year,20-24,"NSGC region 4: 4 AR,IA,IL,IN,KS,MI,MN,MO,ND,NE,OH,OK,SD,WI, Ontario",White,No,Female,Straight or Heterosexual,In a romantic relationship,No,No,No,"Yes, less than 10 hours a week",142
2022/10/26 13:26,2022/10/26 13:56,IP Address,100,1816,TRUE,2022/10/26 13:56,R_7VrmXebZPcqePfz,anonymous,EN,0.800000012,"I consent, begin the study",2- Sometimes,2- Sometimes,4- Usually,2- Sometimes,1- Almost never,3- Often,1- Almost never,3- Often,1- Almost never,2- Sometimes,2- Sometimes,3- Often,1- Almost never,4- Usually,2- Sometimes,4- Usually,1- Almost never,1- Almost never,2- Sometimes,3- Often,None,None,Mild stress,None,Mild Stress,None,None,D,C,A- does not describe me well,B,C,E- describes me very well,D,D,C,D,E- describes me very well,C,E- describes me very well,D,C,A- does not describe me well,E- describes me very well,A- does not describe me well,E- describes me very well,C,E- describes me very well,D,C,A- does not describe me well,B,B,A- does not describe me well,D,"Yes, 1-2 times per week",No,"Yes, 3+ times per week",No,"Yes, 3x per month or less",Hiking,,,Current first year,20-24,"NSGC region 2: DC, DE, MD, NJ, NY, PA, VA, WV, PR, VI, Quebec",White,No,Female,Straight or Heterosexual,Single (never married),No,Yes,Yes,"Yes, 10-20 hours a week",98
2022/10/26 13:48,2022/10/26 13:58,IP Address,100,593,TRUE,2022/10/26 13:58,R_2Pbr0EazQ2dgJnQ,anonymous,EN,1,"I consent, begin the study",1- Almost never,4- Usually,4- Usually,1- Almost never,3- Often,2- Sometimes,4- Usually,2- Sometimes,4- Usually,4- Usually,3- Often,2- Sometimes,4- Usually,2- Sometimes,2- Sometimes,4- Usually,4- Usually,3- Often,1- Almost never,4- Usually,Moderate stress,Moderate stress,Moderate stress,Moderate stress,Mild Stress,None,Moderate stress,D,C,C,D,B,C,B,D,D,A- does not describe me well,D,B,B,C,B,D,B,B,E- describes me very well,D,D,D,D,A- does not describe me well,D,C,B,C,"Yes, 1-2 times per week",No,"Yes, 1-2 times per week",No,"Yes, 1-2 times per week",,Video games,,Current second year,20-24,"NSGC region 4: 4 AR,IA,IL,IN,KS,MI,MN,MO,ND,NE,OH,OK,SD,WI, Ontario",White,No,Male,"Gay, lesbian, or homosexual",Single (never married),Yes,Yes,No,"Yes, 20-30 hours a week",129
2022/10/26 13:53,2022/10/26 13:59,IP Address,100,382,TRUE,2022/10/26 13:59,R_2vYUyr9nxkPstGI,anonymous,EN,0.899999976,"I consent, begin the study",4- Usually,2- Sometimes,2- Sometimes,3- Often,3- Often,1- Almost never,2- Sometimes,4- Usually,2- Sometimes,1- Almost never,4- Usually,2- Sometimes,4- Usually,4- Usually,4- Usually,4- Usually,4- Usually,3- Often,3- Often,2- Sometimes,Severe stress,Severe stress,None,None,Severe stress,Severe stress,None,E- describes me very well,E- describes me very well,A- does not describe me well,A- does not describe me well,E- describes me very well,C,E- describes me very well,E- describes me very well,E- describes me very well,E- describes me very well,E- describes me very well,A- does not describe me well,A- does not describe me well,A- does not describe me well,A- does not describe me well,A- does not describe me well,E- describes me very well,A- does not describe me well,B,E- describes me very well,E- describes me very well,E- describes me very well,A- does not describe me well,B,E- describes me very well,C,C,E- describes me very well,"Yes, 1-2 times per week",No,"Yes, 1-2 times per week",No,"Yes, 1-2 times per week",,Watching reality tv,,Current first year,20-24,"NSGC region 2: DC, DE, MD, NJ, NY, PA, VA, WV, PR, VI, Quebec",Hispanic or Latino,No,Female,Pansexual,In a romantic relationship,No,Yes,Yes,No,138
2022/10/26 13:28,2022/10/26 14:01,IP Address,100,1981,TRUE,2022/10/26 14:01,R_1LeDQsysKwZvsdZ,anonymous,EN,0.899999976,"I consent, begin the study",2- Sometimes,4- Usually,4- Usually,2- Sometimes,1- Almost never,2- Sometimes,3- Often,1- Almost never,3- Often,3- Often,2- Sometimes,2- Sometimes,3- Often,2- Sometimes,1- Almost never,3- Often,3- Often,3- Often,2- Sometimes,4- Usually,Mild stress,Moderate stress,Moderate stress,Mild stress,Moderate stress,Severe stress,None,B,D,B,D,B,B,D,D,E- describes me very well,C,D,D,D,B,D,A- does not describe me well,C,B,D,C,D,B,A- does not describe me well,A- does not describe me well,D,C,A- does not describe me well,D,"Yes, 1-2 times per week",No,"Yes, 1-2 times per week",No,"Yes, 3x per month or less",Playing party/tabletop games,,,Current first year,30-34,"NSGC region 2: DC, DE, MD, NJ, NY, PA, VA, WV, PR, VI, Quebec",White,Yes,Non-binary,"Gay, lesbian, or homosexual",In a romantic relationship,No,Yes,No,No,107
2022/10/26 13:57,2022/10/26 14:03,IP Address,100,368,TRUE,2022/10/26 14:03,R_1mxBA1r0afWtaWz,anonymous,EN,1,"I consent, begin the study",2- Sometimes,3- Often,4- Usually,2- Sometimes,3- Often,1- Almost never,2- Sometimes,2- Sometimes,3- Often,3- Often,4- Usually,3- Often,4- Usually,3- Often,2- Sometimes,3- Often,4- Usually,4- Usually,2- Sometimes,3- Often,Mild stress,None,Mild stress,Moderate stress,Moderate stress,None,None,D,E- describes me very well,A- does not describe me well,A- does not describe me well,B,D,B,D,D,C,E- describes me very well,B,B,A- does not describe me well,B,A- does not describe me well,C,A- does not describe me well,B,D,C,D,C,A- does not describe me well,D,C,C,B,"Yes, 3+ times per week",No,"Yes, 3x per month or less",No,No,,,,Current first year,20-24,"NSGC region 2: DC, DE, MD, NJ, NY, PA, VA, WV, PR, VI, Quebec",White,No,Female,Bisexual,In a romantic relationship,No,No,No,No,135
2022/10/26 13:59,2022/10/26 14:04,IP Address,100,310,TRUE,2022/10/26 14:04,R_3M9lOBEoJ2kXCOn,anonymous,EN,1,"I consent, begin the study",2- Sometimes,4- Usually,4- Usually,3- Often,3- Often,3- Often,2- Sometimes,3- Often,3- Often,4- Usually,3- Often,4- Usually,2- Sometimes,3- Often,3- Often,2- Sometimes,3- Often,4- Usually,2- Sometimes,3- Often,Mild stress,None,Severe stress,Moderate stress,Severe stress,Mild stress,Moderate stress,D,D,B,B,D,C,A- does not describe me well,D,D,E- describes me very well,D,A- does not describe me well,A- does not describe me well,B,C,C,C,B,C,E- describes me very well,D,D,D,B,C,C,C,D,"Yes, 3+ times per week",No,"Yes, 3+ times per week",No,No,,,,Current second year,25-29,"NSGC region 2: DC, DE, MD, NJ, NY, PA, VA, WV, PR, VI, Quebec",White,No,Female,Straight or Heterosexual,In a romantic relationship,No,Yes,No,"Yes, less than 10 hours a week",135
2022/10/26 14:05,2022/10/26 14:12,IP Address,100,383,TRUE,2022/10/26 14:12,R_3Oia1qzGbolFFo8,anonymous,EN,1,"I consent, begin the study",2- Sometimes,2- Sometimes,2- Sometimes,3- Often,2- Sometimes,2- Sometimes,3- Often,2- Sometimes,3- Often,2- Sometimes,2- Sometimes,3- Often,3- Often,3- Often,2- Sometimes,2- Sometimes,2- Sometimes,2- Sometimes,2- Sometimes,3- Often,Severe stress,Mild stress,None,Moderate stress,Mild Stress,None,None,E- describes me very well,D,A- does not describe me well,B,D,D,D,D,D,D,D,B,C,D,B,B,D,C,D,C,D,C,B,C,C,B,A- does not describe me well,D,"Yes, 3x per month or less",No,"Yes, 3+ times per week",No,"Yes, 3+ times per week",,,Crafting,Current second year,25-29,"NSGC region 3:3 Al,FL,GA,KY,LA,MS,NC,SC,TN",Prefer not to say,No,Female,Straight or Heterosexual,Single (never married),No,Yes,Yes,"Yes, less than 10 hours a week",114
2022/10/26 14:07,2022/10/26 14:14,IP Address,100,414,TRUE,2022/10/26 14:14,R_1dMt76s3eRrMOks,anonymous,EN,1,"I consent, begin the study",2- Sometimes,3- Often,4- Usually,4- Usually,2- Sometimes,2- Sometimes,1- Almost never,1- Almost never,3- Often,3- Often,3- Often,3- Often,3- Often,3- Often,2- Sometimes,2- Sometimes,3- Often,4- Usually,1- Almost never,3- Often,Severe stress,Moderate stress,Mild stress,Moderate stress,Mild Stress,Mild stress,Mild stress,A- does not describe me well,D,B,A- does not describe me well,C,B,C,D,D,B,D,C,A- does not describe me well,B,A- does not describe me well,A- does not describe me well,B,A- does not describe me well,D,E- describes me very well,E- describes me very well,C,A- does not describe me well,A- does not describe me well,D,C,A- does not describe me well,E- describes me very well,No,No,"Yes, 3x per month or less",No,No,,,,Current second year,20-24,"NSGC region 4: 4 AR,IA,IL,IN,KS,MI,MN,MO,ND,NE,OH,OK,SD,WI, Ontario",White,No,Female,Straight or Heterosexual,In a romantic relationship,No,Yes,Yes,"Yes, 10-20 hours a week",119
2022/10/26 14:06,2022/10/26 14:15,IP Address,100,507,TRUE,2022/10/26 14:15,R_3fwMBEq5FHPZYFF,anonymous,EN,1,"I consent, begin the study",1- Almost never,2- Sometimes,3- Often,2- Sometimes,3- Often,1- Almost never,2- Sometimes,2- Sometimes,4- Usually,2- Sometimes,4- Usually,4- Usually,3- Often,3- Often,3- Often,3- Often,4- Usually,4- Usually,1- Almost never,3- Often,Mild stress,Moderate stress,Mild stress,Mild stress,Moderate stress,None,Mild stress,D,D,A- does not describe me well,A- does not describe me well,E- describes me very well,C,A- does not describe me well,E- describes me very well,D,C,E- describes me very well,A- does not describe me well,A- does not describe me well,A- does not describe me well,A- does not describe me well,D,B,C,E- describes me very well,D,E- describes me very well,D,E- describes me very well,A- does not describe me well,D,E- describes me very well,A- does not describe me well,C,"Yes, 1-2 times per week",No,"Yes, 1-2 times per week",No,"Yes, 3x per month or less","Watching TV, playing video games",,,Current second year,20-24,"NSGC region 3:3 Al,FL,GA,KY,LA,MS,NC,SC,TN",White,No,Female,Straight or Heterosexual,In a romantic relationship,No,Yes,No,No,142
2022/10/26 14:11,2022/10/26 14:16,IP Address,100,305,TRUE,2022/10/26 14:16,R_25NLQo4ff4zhaER,anonymous,EN,1,"I consent, begin the study",2- Sometimes,4- Usually,4- Usually,4- Usually,2- Sometimes,2- Sometimes,3- Often,1- Almost never,3- Often,3- Often,4- Usually,4- Usually,4- Usually,3- Often,2- Sometimes,2- Sometimes,4- Usually,3- Often,4- Usually,4- Usually,Mild stress,Mild stress,None,Mild stress,Moderate stress,None,None,D,E- describes me very well,A- does not describe me well,C,E- describes me very well,E- describes me very well,A- does not describe me well,E- describes me very well,D,D,D,B,A- does not describe me well,A- does not describe me well,B,A- does not describe me well,E- describes me very well,A- does not describe me well,C,E- describes me very well,E- describes me very well,E- describes me very well,D,B,D,E- describes me very well,C,D,No,No,"Yes, 1-2 times per week",No,No,,,,Current first year,25-29,"NSGC region 4: 4 AR,IA,IL,IN,KS,MI,MN,MO,ND,NE,OH,OK,SD,WI, Ontario",White,No,Female,Straight or Heterosexual,In a romantic relationship,No,Yes,No,"Yes, less than 10 hours a week",148
2022/10/26 13:40,2022/10/26 14:19,IP Address,100,2311,TRUE,2022/10/26 14:19,R_3lzsjtiVl0KhKYl,anonymous,EN,1,"I consent, begin the study",3- Often,2- Sometimes,3- Often,4- Usually,2- Sometimes,2- Sometimes,2- Sometimes,2- Sometimes,2- Sometimes,2- Sometimes,3- Often,4- Usually,3- Often,3- Often,1- Almost never,3- Often,2- Sometimes,3- Often,2- Sometimes,4- Usually,Moderate stress,None,Mild stress,None,Mild Stress,Mild stress,None,C,E- describes me very well,A- does not describe me well,A- does not describe me well,D,C,B,D,E- describes me very well,D,E- describes me very well,B,D,A- does not describe me well,A- does not describe me well,C,D,A- does not describe me well,D,E- describes me very well,D,E- describes me very well,D,B,D,D,B,E- describes me very well,No,No,"Yes, 3x per month or less",No,"Yes, 1-2 times per week",,"Watched movies, read a book",,Current second year,30-34,"NSGC region 5: AZ, CO, MT, NM, TX, UT, WY, Alberta, Manitoba, Sask",White,No,Female,"Gay, lesbian, or homosexual",Married,No,No,No,No,130
